race_source_id,date,course,race_type,subtype,distance,distance_yards,horse,finish_position,or,pooled_rating,subtype_rating,subtype_same_day_rating,subtype_historical_rating,pooled_standard,subtype_standard,pooled_sample,subtype_sample
893227,2025-12-10,Hexham,handicap,hurdle,2m 7f 63y,5123,Superior Glance,3,90,-111.34,-111.34,90.66,0.12,373.06,373.06,11,11
895859,2025-12-29,Kelso,handicap,chase,3m 2f 39y,5759,Great Notions,5,114,-111.21,-111.21,-,-84.31,398.64,398.64,3,3
865308,2025-06-29,Cartmel,handicap,chase,3m 1f 107y,5607,Jelski,6,89,-110.83,-110.83,-,-78.43,393.51,393.51,7,7
837304,2025-01-05,Chepstow,handicap,chase,3m 2f 54y,5774,Shot Boii,6,103,-110.65,-110.65,-,-,412.81,412.81,2,2
890412,2025-11-20,Wincanton,handicap,chase,1m 7f 149y,3449,Juggernaut,4,104,310.30,310.30,-,289.88,250.39,250.39,2,2
842721,2025-02-09,Chepstow,handicap,hurdle,2m 7f 131y,5191,Livy's Lad,7,83,-110.27,-134.09,-23.87,-43.91,361.16,356.32,20,11
876415,2025-08-30,Newton Abbot,maiden,hurdle,2m 167y,3687,Irisante,3,107,-109.93,-109.93,-,-125.35,246.65,246.65,35,27
865637,2025-06-27,Cartmel,handicap,chase,2m 5f 34y,4654,King Of Cong,7,100,-109.83,-109.83,-32.29,-57.76,328.40,328.40,9,9
890412,2025-11-20,Wincanton,handicap,chase,1m 7f 149y,3449,Chicago Storm,5,110,309.80,309.80,-,289.38,250.39,250.39,2,2
842697,2025-02-08,Uttoxeter,handicap,chase,1m 7f 214y,3514,What A Time,4,88,-109.65,-109.65,-,-73.87,239.44,239.44,12,12
893227,2025-12-10,Hexham,handicap,hurdle,2m 7f 63y,5123,Guernesey,2,98,-109.59,-109.59,92.41,1.87,373.06,373.06,11,11
842536,2025-02-07,Kempton,novice,hurdle,2m 5f,4620,Minella Kaiser,7,,-109.52,-109.52,-,-90.41,308.98,308.98,11,11
845189,2025-02-21,Warwick,handicap,hurdle,3m 2f,5720,Lucky So And So,8,104,-109.50,-109.50,-,-48.83,379.72,379.72,5,5
845189,2025-02-21,Warwick,handicap,hurdle,3m 2f,5720,Elfride,7,72,-109.45,-109.45,-,-48.78,379.72,379.72,5,5
893227,2025-12-10,Hexham,handicap,hurdle,2m 7f 63y,5123,Adveram,1,96,-109.29,-109.29,92.71,2.17,373.06,373.06,11,11
890412,2025-11-20,Wincanton,handicap,chase,1m 7f 149y,3449,Rangatira Jack,6,100,309.05,309.05,-,288.63,250.39,250.39,2,2
839098,2025-01-11,Ffos Las,handicap,hurdle,2m 4f,4400,Grandmaster Flash,10,72,-108.23,-108.23,-,-39.55,303.58,303.58,26,26
845370,2025-02-26,Bangor-on-Dee,handicap,chase,2m 1f 77y,3817,Night Jet,4,83,-108.20,-108.20,-,-22.00,256.28,256.28,9,9
843759,2025-02-15,Wincanton,handicap,hurdle,3m 150y,5430,Thruthelookinglass,4,107,-108.10,-108.10,-,-52.44,372.49,372.49,6,6
895859,2025-12-29,Kelso,handicap,chase,3m 2f 39y,5759,Super Citizen,4,103,-107.46,-107.46,-,-80.56,398.64,398.64,3,3
843759,2025-02-15,Wincanton,handicap,hurdle,3m 150y,5430,Patanita,3,105,-107.35,-107.35,-,-51.69,372.49,372.49,6,6
844851,2025-02-23,Fontwell,handicap,hurdle,2m 5f 164y,4784,Millies Mite,4,77,-107.05,-107.05,-,-11.53,329.30,329.30,19,19
845189,2025-02-21,Warwick,handicap,hurdle,3m 2f,5720,Prince Cleni,6,80,-106.70,-106.70,-,-46.03,379.72,379.72,5,5
894441,2025-12-18,Exeter,handicap,chase,3m 54y,5334,Gyenyame,4,117,-106.43,-106.43,64.35,19.91,381.06,381.06,14,14
842700,2025-02-08,Uttoxeter,handicap,chase,3m,5280,Hobb's Delight,6,96,-106.39,-106.39,-,-59.07,375.37,375.37,3,3
896321,2025-12-31,Uttoxeter,maiden,hurdle,2m 7f 70y,5130,Arctic Conditions,4,,-106.34,-106.34,1.99,-81.15,352.19,352.19,25,25
893225,2025-12-10,Hexham,maiden,hurdle,2m 4f 28y,4428,Knockeranna Rose,6,,-106.15,-106.15,78.68,-8.45,316.10,316.10,19,19
895859,2025-12-29,Kelso,handicap,chase,3m 2f 39y,5759,Court At Slip,3,102,-105.96,-105.96,-,-79.06,398.64,398.64,3,3
837304,2025-01-05,Chepstow,handicap,chase,3m 2f 54y,5774,Ultra Beat,5,110,-105.65,-105.65,-,-,412.81,412.81,2,2
842700,2025-02-08,Uttoxeter,handicap,chase,3m,5280,Mister Barclay,5,98,-105.39,-105.39,-,-58.07,375.37,375.37,3,3
845371,2025-02-26,Bangor-on-Dee,handicap,chase,2m 4f 72y,4472,Big City Roller,1,115,-105.38,-105.38,-,-3.16,302.99,302.99,8,8
890388,2025-11-20,Warwick,hurdle,hurdle,2m,3520,Paxton Gold,5,,-104.50,-106.66,-,-83.56,229.50,229.10,31,21
845189,2025-02-21,Warwick,handicap,hurdle,3m 2f,5720,Kazontherazz,5,101,-104.45,-104.45,-,-43.78,379.72,379.72,5,5
893226,2025-12-10,Hexham,handicap,hurdle,2m 4f 28y,4428,Pure Sirloin,3,90,-104.08,-104.08,72.32,-6.75,316.10,316.10,19,19
844645,2025-02-20,Huntingdon,handicap,hurdle,2m 3f 137y,4317,Alexandra Larose,1,88,304.05,304.05,-,326.46,290.52,290.52,14,14
